a,32,doc5.txt,doc6.txt
and,80,doc5.txt,doc6.txt
are,38,doc5.txt,doc6.txt
bitcoin,35,doc5.txt,doc6.txt
blockchain,77,doc5.txt,doc6.txt
cryptocurrencies,40,doc5.txt,doc6.txt
decentralized,48,doc5.txt,doc6.txt
ethereum,43,doc5.txt,doc6.txt
famous,44,doc5.txt,doc6.txt
for,86,doc5.txt,doc6.txt
immutable,33,doc5.txt,doc6.txt
is,32,doc5.txt,doc6.txt
ledger,43,doc5.txt,doc6.txt
on,28,doc5.txt,doc6.txt
recording,40,doc5.txt,doc6.txt
rely,31,doc5.txt,doc6.txt
secure,82,doc5.txt,doc6.txt
system,46,doc5.txt,doc6.txt
that,27,doc5.txt,doc6.txt
their,45,doc5.txt,doc6.txt
transactions,28,doc5.txt,doc6.txt
two,42,doc5.txt,doc6.txt
