365,11,doc3.txt
and,31,doc2.txt
are,21,doc2.txt
around,14,doc3.txt
artificial,19,doc2.txt
changing,14,doc3.txt
computers,28,doc2.txt
days,8,doc3.txt
deep,21,doc2.txt
earth,17,doc3.txt
elliptical,9,doc3.txt
field,21,doc2.txt
for,14,doc3.txt
have,9,doc3.txt
human,20,doc2.txt
in,8,doc3.txt
intelligence,54,doc2.txt
involved,27,doc2.txt
is,44,doc2.txt,doc3.txt
it,11,doc3.txt
journey,13,doc3.txt
just,20,doc2.txt
learning,50,doc2.txt
machine,30,doc2.txt
making,31,doc2.txt
methodologies,29,doc2.txt
networks,26,doc2.txt
neural,39,doc2.txt
of,48,doc2.txt
on,5,doc3.txt
orbits,11,doc3.txt
planets,12,doc3.txt
popular,28,doc2.txt
responsible,8,doc3.txt
revolves,12,doc3.txt
roughly,7,doc3.txt
rougzhly,1,doc3.txt
seasons,10,doc3.txt
simulate,28,doc2.txt
solar,10,doc3.txt
some,29,doc2.txt
sun,10,doc3.txt
system,8,doc3.txt
takes,13,doc3.txt
the,95,doc2.txt,doc3.txt
this,17,doc3.txt
which,9,doc3.txt
