a,18,doc5.txt
allows,11,doc4.txt
and,53,doc4.txt,doc5.txt
are,24,doc5.txt
bitcoin,23,doc5.txt
blockchain,40,doc5.txt
businesses,11,doc4.txt
can,14,doc4.txt
centers,13,doc4.txt
cloud,18,doc4.txt
companies,13,doc4.txt
computing,30,doc4.txt
cryptocurrencies,33,doc5.txt
data,15,doc4.txt
decentralized,27,doc5.txt
demand,15,doc4.txt
ethereum,20,doc5.txt
famous,26,doc5.txt
for,45,doc5.txt
immutable,23,doc5.txt
is,23,doc5.txt
large,8,doc4.txt
ledger,26,doc5.txt
longer,6,doc4.txt
maintain,14,doc4.txt
meet,13,doc4.txt
need,10,doc4.txt
needs,11,doc4.txt
no,9,doc4.txt
of,12,doc4.txt
on,29,doc4.txt,doc5.txt
power,8,doc4.txt
recording,21,doc5.txt
rely,23,doc5.txt
rent,8,doc4.txt
resources,12,doc4.txt
saves,12,doc4.txt
scale,12,doc4.txt
secure,47,doc5.txt
system,28,doc5.txt
that,22,doc5.txt
the,26,doc4.txt
their,25,doc5.txt
them,10,doc4.txt
time,10,doc4.txt
to,35,doc4.txt
transactions,21,doc5.txt
two,24,doc5.txt
users,14,doc4.txt
which,9,doc4.txt
