365,23,doc3.txt
a,108,doc1.txt,doc5.txt,doc6.txt
allows,24,doc4.txt
alphabet,14,doc1.txt
and,228,doc1.txt,doc2.txt,doc4.txt,doc5.txt,doc6.txt
are,97,doc2.txt,doc5.txt,doc6.txt
around,29,doc3.txt
artificial,24,doc2.txt
at,21,doc1.txt
bitcoin,58,doc5.txt,doc6.txt
blockchain,126,doc5.txt,doc6.txt
brown,18,doc1.txt
businesses,31,doc4.txt
can,28,doc4.txt
centers,31,doc4.txt
changing,27,doc3.txt
cloud,46,doc4.txt
companies,24,doc4.txt
computers,35,doc2.txt
computing,61,doc4.txt
contains,26,doc1.txt
cryptocurrencies,76,doc5.txt,doc6.txt
data,25,doc4.txt
days,26,doc3.txt
decentralized,78,doc5.txt,doc6.txt
deep,28,doc2.txt
demand,29,doc4.txt
display,35,doc1.txt
dog,19,doc1.txt
earth,49,doc3.txt
elliptical,27,doc3.txt
ethereum,66,doc5.txt,doc6.txt
every,25,doc1.txt
famous,74,doc5.txt,doc6.txt
field,28,doc2.txt
for,235,doc1.txt,doc3.txt,doc5.txt,doc6.txt
fox,29,doc1.txt
have,30,doc3.txt
human,22,doc2.txt
immutable,58,doc5.txt,doc6.txt
in,48,doc1.txt,doc3.txt
intelligence,60,doc2.txt
involved,30,doc2.txt
is,175,doc1.txt,doc2.txt,doc3.txt,doc5.txt,doc6.txt
it,22,doc3.txt
journey,33,doc3.txt
jumps,22,doc1.txt
just,25,doc2.txt
large,30,doc4.txt
lazy,22,doc1.txt
learning,60,doc2.txt
least,27,doc1.txt
ledger,72,doc5.txt,doc6.txt
letter,25,doc1.txt
longer,19,doc4.txt
machine,34,doc2.txt
maintain,25,doc4.txt
making,36,doc2.txt
meet,20,doc4.txt
methodologies,35,doc2.txt
need,25,doc4.txt
needs,27,doc4.txt
networks,32,doc2.txt
neural,47,doc2.txt
no,26,doc4.txt
of,111,doc1.txt,doc2.txt,doc4.txt
on,92,doc3.txt,doc4.txt,doc5.txt,doc6.txt
once,26,doc1.txt
orbits,29,doc3.txt
over,13,doc1.txt
pangram,23,doc1.txt
planets,24,doc3.txt
popular,34,doc2.txt
power,20,doc4.txt
purposes,19,doc1.txt
quick,18,doc1.txt
recording,68,doc5.txt,doc6.txt
rely,56,doc5.txt,doc6.txt
rent,24,doc4.txt
resources,23,doc4.txt
responsible,31,doc3.txt
revolves,29,doc3.txt
roughly,28,doc3.txt
rougzhly,1,doc3.txt
saves,21,doc4.txt
scale,30,doc4.txt
seasons,26,doc3.txt
secure,138,doc5.txt,doc6.txt
sentence,35,doc1.txt
simulate,34,doc2.txt
solar,27,doc3.txt
some,41,doc2.txt
sun,28,doc3.txt
system,112,doc3.txt,doc5.txt,doc6.txt
takes,25,doc3.txt
testing,28,doc1.txt
text,21,doc1.txt
that,74,doc1.txt,doc5.txt,doc6.txt
the,287,doc1.txt,doc2.txt,doc3.txt,doc4.txt
their,76,doc5.txt,doc6.txt
them,19,doc4.txt
this,51,doc1.txt,doc3.txt
time,21,doc4.txt
to,70,doc4.txt
transactions,52,doc5.txt,doc6.txt
two,68,doc5.txt,doc6.txt
typography,23,doc1.txt
used,18,doc1.txt
users,21,doc4.txt
various,30,doc1.txt
which,50,doc3.txt,doc4.txt
